name,tel,address,source,contact_type,preferred_contact_method,priority,response_notes,next_step,email
Mascot Center Abrera,+34 930 24 31 98,"Av. Ca n'Amat, N° 10, nave 3, 08630 Abrera, Barcelona, España · Abrera",lista_barcelona_tiendas_pet_50km · 2026-04-28,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web:  | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
"Love Animal - Tienda de Mascotas en Badalona: Accesorios, Alimentos y Servicios para Animales",+34 670 42 04 27,"Carrer de Tànger, 12, 08917 Badalona, Barcelona, España · Badalona",lista_barcelona_tiendas_pet_50km · 2026-04-28,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web:  | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
Kiwoko. Mundo Animal,+34 935 22 22 48,"Avinguda de la Comunitat Europea, 75, 08917 Badalona, Barcelona, España · Badalona",lista_barcelona_tiendas_pet_50km · 2026-04-28,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web:  | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
LoveAnimals Badalona,+34 722 61 39 64,"Carrer dels Arbres, 39, 08912 Badalona, Barcelona, España · Badalona",lista_barcelona_tiendas_pet_50km · 2026-04-28,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web:  | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
RONDANIMAL´S,+34 931 62 99 94,"Ronda de Sant Antoni de Llefià, 95, 08913 Badalona, Barcelona, España · Badalona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: https://www.facebook.com/rondanimals/,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web: https://www.facebook.com/rondanimals/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
By Mascota Badalona - Tienda & Peluquería Mascotas,+34 614 51 21 38,"Carrer del Canonge Baranera, 73, 08911 Badalona, Barcelona, España · Badalona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: https://www.instagram.com/bymascotabadalona?igsh=MWRtMmh6eWpuMGhvZw==,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web: https://www.instagram.com/bymascotabadalona?igsh=MWRtMmh6eWpuMGhvZw== | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
Kiwoko. Mundo Animal,+34 935 48 09 20,"Carrer d'Aribau, 21, Eixample, 08011 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web:  | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
Caninetto,+34 932 50 61 63,"Carrer de Viladomat, 57, Eixample, 08015 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: https://www.caninetto.es/,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: https://www.caninetto.es/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,contacto@caninetto.es
BCN ANIMALS,+34 932 43 30 56,"Carrer de Garcilaso, 34, Sant Andreu, 08027 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: http://www.bcnanimals.com/,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: http://www.bcnanimals.com/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,info@bcnanimals.com
Barkcelona El Born,+34 935 64 28 37,"Carrer de l'Espaseria, 4, Ciutat Vella, 08003 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: https://barkcelona.com/,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: https://barkcelona.com/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,info@barkcelona.com
Animalades Gracia,+34 931 70 76 52,"Carrer del Progrés, 46, Gràcia, 08012 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: http://www.animaladesgracia.com/,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: http://www.animaladesgracia.com/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,animalades@animaladesgracia.com
Don Canino,+34 933 63 05 32,"Carrer de Villarroel, 235, Eixample, 08036 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: http://www.doncanino.com/,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: http://www.doncanino.com/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,informacion@doncanino.com
"By Mascota Maragall Barcelona - Tienda Mascotas, Consulta Veterinaria, Peluquería Canina",+34 937 97 62 10,"Pg. Maragall, 253, Horta-Guinardó, 08032 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: https://bymascota.com/tiendas/tiendas-mascotas-barcelona,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: https://bymascota.com/tiendas/tiendas-mascotas-barcelona | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,franquicias@bymascota.com
Juana Dog - Maragall,+34 935 31 65 40,"Pg. Maragall, 4, Sant Martí, 08026 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: http://www.juanadog.com/,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: http://www.juanadog.com/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,info@juanadog.com
Miscota,+34 936 34 88 27,"Carrer del Consell de Cent, 373-375, Eixample, 08009 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: http://www.miscota.es/,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web: http://www.miscota.es/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
Kiwoko. Mundo Animal,+34 932 92 61 30,"Gran Via de les Corts Catalanes, 513, Eixample, 08015 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web:  | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
INU Animals nutrición y peluquería( perruqueria)canina,+34 643 50 34 84,"Carrer de Còrsega, 668, Sant Martí, 08026 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web:  | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
Kiwoko. Mundo Animal,+34 935 48 09 24,"Carrer de Manso, 39, Eixample, 08015 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28,pet_store,whatsapp,medium,Categoria: Tienda de productos para mascotas | Web:  | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,
Barkcelona Eixample,+34 938 33 88 58,"Carrer de Girona, 87, Eixample, 08009 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: https://barkcelona.com/,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: https://barkcelona.com/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,info@barkcelona.com
CENTRAL DEL PIENSO,+34 932 78 19 29,"Carrer de Huelva, 110, Sant Martí, 08020 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: http://www.centraldelpinso.es/,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: http://www.centraldelpinso.es/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,info@centraldelpinso.es
Lovedogs,+34 934 57 99 87,"Carrer de Provença, 367, Eixample, 08025 Barcelona, España · Barcelona",lista_barcelona_tiendas_pet_50km · 2026-04-28 · Web: https://www.tiendaslovedogs.es/,pet_store,email,medium,Categoria: Tienda de productos para mascotas | Web: https://www.tiendaslovedogs.es/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion comercial Care & Comfort,contacto@lovedogs.cat
