name,tel,address,source,contact_type,preferred_contact_method,priority,response_notes,next_step,email
Clínica Veterinària Badalona,933 84 25 12,"Carrer de Sant Miquel, 35, bj, 08911 Badalona, Barcelona · Badalona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: http://www.clinicaveterinariabadalona.com/,veterinary_clinic,email,high,Categoria: Centro veterinario | Web: http://www.clinicaveterinariabadalona.com/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,info@clinicaveterinariabadalona.com
Hospital Veterinario La Arca,934 64 09 92,"Carrer de la Creu, 59, bj, 08912 Badalona, Barcelona · Badalona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: http://www.hospitalveterinariarca.es/,veterinary_clinic,email,high,Categoria: Centro veterinario | Web: http://www.hospitalveterinariarca.es/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,hvlarca@larca.e.telefonica.net
Vetalliance Badalona,930 16 17 01,"Avinguda Sant Ignasi de Loiola, 12, 08912 Badalona, Barcelona · Badalona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: https://vetalliance.cat/,veterinary_clinic,email,high,Categoria: Centro veterinario | Web: https://vetalliance.cat/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,info@vetalliance.cat
Clínica Veterinària Sant Mori | MiVet,933 99 95 09,"Av. d'Alfons XIII, 581, 08913 Badalona, Barcelona · Badalona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: https://mivet.com/clinica-veterinaria-sant-mori-badalona/,veterinary_clinic,email,high,Categoria: Centro veterinario | Web: https://mivet.com/clinica-veterinaria-sant-mori-badalona/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,info@mivet.com
VETaDOM Veterinario a domicilio,647 74 72 07,"Carrer de Coll i Pujol, 183, 08917 Badalona, Barcelona · Badalona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: https://vets.wakyma.com/reservas/reservar-cita?veterinaryId=BEqZ8eALXz,veterinary_clinic,whatsapp,high,Categoria: Centro veterinario | Web: https://vets.wakyma.com/reservas/reservar-cita?veterinaryId=BEqZ8eALXz | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,
Balmesvet Veterinaris Hospital 24 H.,931 17 31 73,"Carrer de Balmes, 205, Sarrià-Sant Gervasi, 08006 Barcelona · Barcelona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: https://www.balmesvet.com/,veterinary_clinic,whatsapp,high,Categoria: Centro veterinario | Web: https://www.balmesvet.com/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,
BCN Clinica Veterinaria,934 08 61 04,"Carrer del Segle XX, 7, Horta-Guinardó, 08041 Barcelona · Barcelona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: http://www.vidavet.es/,veterinary_clinic,email,high,Categoria: Centro veterinario | Web: http://www.vidavet.es/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,info@vidavet.es
Hospital Veterinaria del Mar,930 21 78 12,"Carrer de la Marina, 69, Sant Martí, 08005 Barcelona · Barcelona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: https://pide-cita-previa.evidensia.es/HVDelMar-GMB-Portal,veterinary_clinic,whatsapp,high,Categoria: Centro veterinario | Web: https://pide-cita-previa.evidensia.es/HVDelMar-GMB-Portal | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,
CLINICA FELINA BARCELONA,936 24 48 54,"Carrer del Marquès de Campo Sagrado, 12, bajos 3, Eixample, 08015 Barcelona · Barcelona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: http://www.clinicafelinabarcelona.cat/,veterinary_clinic,email,high,Categoria: Centro veterinario | Web: http://www.clinicafelinabarcelona.cat/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,clinica@clinicafelinabarcelona.cat
Hospital Veterinario Montjuïc,934 23 77 11,"Carrer de Mèxic, 30, Sants-Montjuïc, 08004 Barcelona · Barcelona",lista_barcelona_veterinarios_50km · 2026-04-28 · Web: http://www.hvmontjuic.com/,veterinary_clinic,email,high,Categoria: Centro veterinario | Web: http://www.hvmontjuic.com/ | Campana: Care & Comfort Barcelona 50km,Enviar informacion profesional Care & Comfort,info@hvmontjuic.com
